epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.232,0.59357,2.90199,1.01852,0.77978,0.81925,0.85211,0.75591,0.48063,2.4829,0.92669,0.000330033,0.000330033,0.000330033
2,1060.25,0.61198,1.46734,0.97445,0.91784,0.97169,0.97802,0.88048,0.48924,1.5599,0.93306,0.000650232,0.000650232,0.000650232
3,1495.13,0.55679,1.17053,0.9351,0.98046,0.97579,0.99352,0.88729,0.48511,1.33855,0.89168,0.00095723,0.00095723,0.00095723
4,1932.47,0.56894,1.05257,0.93988,0.97988,0.97238,0.98853,0.90864,0.44685,1.20716,0.87121,0.0009406,0.0009406,0.0009406
5,2366.23,0.53959,0.8972,0.92232,0.98659,0.99238,0.99297,0.88705,0.46356,0.90253,0.86069,0.0009208,0.0009208,0.0009208
6,2800.58,0.52938,0.85039,0.91711,0.99419,0.99551,0.995,0.92918,0.3837,0.75933,0.84438,0.000901,0.000901,0.000901
7,3236.52,0.52102,0.76002,0.92841,0.98226,0.99546,0.995,0.9086,0.43204,0.80718,0.87153,0.0008812,0.0008812,0.0008812
8,3667.81,0.49837,0.68099,0.9042,0.98529,0.99003,0.99458,0.93023,0.37831,0.6541,0.84709,0.0008614,0.0008614,0.0008614
9,4101.18,0.48022,0.63124,0.90059,0.99582,1,0.995,0.94158,0.35844,0.56376,0.83368,0.0008416,0.0008416,0.0008416
10,4535.28,0.46526,0.57046,0.90783,0.99067,1,0.995,0.92603,0.35056,0.52953,0.83605,0.0008218,0.0008218,0.0008218
11,4995.99,0.47935,0.54932,0.90173,0.98397,1,0.99447,0.93312,0.37875,0.52758,0.83778,0.000802,0.000802,0.000802
12,5472.34,0.47523,0.53953,0.89688,0.98692,0.98311,0.99356,0.94038,0.35705,0.45958,0.83735,0.0007822,0.0007822,0.0007822
13,6232.51,0.46388,0.49413,0.89344,0.99616,1,0.995,0.94734,0.32899,0.39483,0.82789,0.0007624,0.0007624,0.0007624
14,6738.53,0.45155,0.47505,0.90065,0.99559,0.99617,0.995,0.93959,0.35628,0.38199,0.83825,0.0007426,0.0007426,0.0007426
15,7384.17,0.43628,0.45391,0.89419,0.99568,0.99945,0.995,0.93723,0.3615,0.37784,0.83702,0.0007228,0.0007228,0.0007228
16,8083.1,0.42413,0.43872,0.8845,0.9962,1,0.995,0.93858,0.33462,0.3584,0.82986,0.000703,0.000703,0.000703
17,8795.75,0.42942,0.41281,0.88994,0.99835,1,0.995,0.93928,0.34444,0.3399,0.82649,0.0006832,0.0006832,0.0006832
18,9494.85,0.42774,0.40381,0.87885,0.99495,0.99998,0.995,0.94544,0.33262,0.32594,0.82699,0.0006634,0.0006634,0.0006634
19,10190.4,0.42369,0.39541,0.88652,0.99675,1,0.995,0.95381,0.32306,0.29904,0.82818,0.0006436,0.0006436,0.0006436
20,11047,0.41239,0.38683,0.87905,0.99791,1,0.995,0.95406,0.32081,0.28308,0.82091,0.0006238,0.0006238,0.0006238
21,11476.9,0.41979,0.37271,0.8876,0.99485,0.99888,0.995,0.94829,0.33614,0.30057,0.83024,0.000604,0.000604,0.000604
22,11907.5,0.41131,0.35289,0.88338,0.99651,1,0.995,0.93974,0.32584,0.28116,0.81803,0.0005842,0.0005842,0.0005842
23,12336.7,0.39762,0.3551,0.8759,0.99745,1,0.995,0.95635,0.31422,0.26542,0.8167,0.0005644,0.0005644,0.0005644
